TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/03/13
TIME	15:15:16
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -0.00855
MAXY	     0.46287
MINY	    -0.00900
XYDATA
700.0000	-0.00854699
699.0000	-0.00855929
698.0000	-0.00859033
697.0000	-0.00862531
696.0000	-0.00859964
695.0000	-0.00856496
694.0000	-0.0085652
693.0000	-0.00853756
692.0000	-0.00855081
691.0000	-0.00858681
690.0000	-0.00860317
689.0000	-0.00860436
688.0000	-0.0085935
687.0000	-0.00861093
686.0000	-0.00862442
685.0000	-0.00861558
684.0000	-0.00857445
683.0000	-0.00857129
682.0000	-0.00861325
681.0000	-0.00863928
680.0000	-0.00864298
679.0000	-0.00865629
678.0000	-0.00867313
677.0000	-0.00865158
676.0000	-0.00866567
675.0000	-0.00868256
674.0000	-0.00868644
673.0000	-0.00868519
672.0000	-0.00867456
671.0000	-0.00871563
670.0000	-0.00871354
669.0000	-0.00865617
668.0000	-0.00862388
667.0000	-0.0086351
666.0000	-0.0086893
665.0000	-0.00871038
664.0000	-0.00870459
663.0000	-0.00871497
662.0000	-0.008713
661.0000	-0.00867749
660.0000	-0.00870238
659.0000	-0.00874888
658.0000	-0.00875336
657.0000	-0.0087478
656.0000	-0.00871503
655.0000	-0.00871891
654.0000	-0.00873139
653.0000	-0.00873121
652.0000	-0.00875646
651.0000	-0.00877264
650.0000	-0.00875461
649.0000	-0.00873425
648.0000	-0.00875939
647.0000	-0.00878267
646.0000	-0.00878189
645.0000	-0.00878171
644.0000	-0.00876553
643.0000	-0.00879634
642.0000	-0.0088426
641.0000	-0.00879759
640.0000	-0.00878852
639.0000	-0.00883412
638.0000	-0.00884666
637.0000	-0.00883764
636.0000	-0.00880117
635.0000	-0.00880278
634.0000	-0.00885454
633.0000	-0.00888415
632.0000	-0.00886946
631.0000	-0.00883753
630.0000	-0.00884147
629.0000	-0.00884338
628.0000	-0.00882266
627.0000	-0.00884314
626.0000	-0.0088734
625.0000	-0.00889059
624.0000	-0.00891125
623.0000	-0.00889143
622.0000	-0.00885263
621.0000	-0.00885376
620.0000	-0.00888086
619.0000	-0.00892253
618.0000	-0.00893966
617.0000	-0.00892289
616.0000	-0.00891841
615.0000	-0.00893536
614.0000	-0.00891734
613.0000	-0.00889447
612.0000	-0.00890587
611.0000	-0.00891286
610.0000	-0.00892736
609.0000	-0.00891519
608.0000	-0.00889262
607.0000	-0.00888761
606.0000	-0.00889985
605.0000	-0.00889567
604.0000	-0.00889083
603.0000	-0.00890731
602.0000	-0.00891226
601.0000	-0.00892331
600.0000	-0.00891961
