TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/03/13
TIME	15:05:41
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -0.00665
MAXY	     0.29486
MINY	    -0.00760
XYDATA
700.0000	-0.00665219
699.0000	-0.00665947
698.0000	-0.00668424
697.0000	-0.00670149
696.0000	-0.00665887
695.0000	-0.00666448
694.0000	-0.00671666
693.0000	-0.00670161
692.0000	-0.00667135
691.0000	-0.006688
690.0000	-0.00673952
689.0000	-0.00674841
688.0000	-0.0067511
687.0000	-0.00678256
686.0000	-0.00678077
685.0000	-0.00676023
684.0000	-0.00673033
683.0000	-0.00671666
682.0000	-0.00673415
681.0000	-0.00677856
680.0000	-0.006817
679.0000	-0.00683389
678.0000	-0.00682285
677.0000	-0.00680393
676.0000	-0.00683485
675.0000	-0.00684947
674.0000	-0.00684661
673.0000	-0.00686022
672.0000	-0.00686117
671.0000	-0.00689586
670.0000	-0.00689353
669.0000	-0.00687783
668.0000	-0.00688899
667.0000	-0.00689848
666.0000	-0.00693412
665.0000	-0.00695412
664.0000	-0.00693251
663.0000	-0.00691532
662.0000	-0.00695257
661.0000	-0.00695472
660.0000	-0.00694045
659.0000	-0.00699752
658.0000	-0.00701244
657.0000	-0.00699972
656.0000	-0.00699083
655.0000	-0.00698934
654.0000	-0.00700796
653.0000	-0.00701918
652.0000	-0.00705076
651.0000	-0.00708091
650.0000	-0.00708186
649.0000	-0.00707398
648.0000	-0.00705846
647.0000	-0.00707936
646.0000	-0.0071178
645.0000	-0.00710091
644.0000	-0.00703339
643.0000	-0.00701429
642.0000	-0.00710658
641.0000	-0.00715708
640.0000	-0.00716746
639.0000	-0.00716866
638.0000	-0.0071843
637.0000	-0.00722083
636.0000	-0.00720919
635.0000	-0.00721534
634.0000	-0.00725259
633.0000	-0.00727963
632.0000	-0.00727038
631.0000	-0.00724453
630.0000	-0.00722238
629.0000	-0.00721534
628.0000	-0.00718919
627.0000	-0.00722286
626.0000	-0.00725969
625.0000	-0.00725504
624.0000	-0.00728088
623.0000	-0.00726417
622.0000	-0.00724835
621.0000	-0.0072582
620.0000	-0.00727438
619.0000	-0.007333
618.0000	-0.00739508
617.0000	-0.00736714
616.0000	-0.00730703
615.0000	-0.00731831
614.0000	-0.00735156
613.0000	-0.00735252
612.0000	-0.00735478
611.0000	-0.00736111
610.0000	-0.00736577
609.0000	-0.0073475
608.0000	-0.00733968
607.0000	-0.00737574
606.0000	-0.00740308
605.0000	-0.00736207
604.0000	-0.00734607
603.0000	-0.00737007
602.0000	-0.00739973
601.0000	-0.00742296
600.0000	-0.00739472
